,Champ,Stats,Items,Runes
10,"Amumu
Tank
Mage","Games Played12948
Pick Rate7.14%
Win Rate39%","['Plated Steelcaps', 'Fimbulwinter', 'Demonic Embrace', 'Sunfire Aegis', 'Null-Magic Mantle', 'Thornmail', 'Oracle Lens', 'Smite', 'Flash', '', '', '', '']","['1\nPrecision', 'Conqueror\nGain stacks of adaptive force when attacking enemy champions. After reaching 12 stacks, heal for a portion of damage you deal to champions.', 'Triumph\nTakedowns restore 12% of your missing health and grant an additional 20 gold.', 'Legend: Tenacity\nTakedowns on enemies grant permanent Tenacity.', 'Last Stand\nDeal more damage to champions while you are low on health.', '1\nDomination', 'Cheap Shot\nDeal bonus true damage to enemy champions with impaired movement or actions.', 'Ravenous Hunter\nUnique takedowns grant permanent Omnivamp.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
11,"Amumu
Tank
Mage","Games Played12948
Pick Rate7.14%
Win Rate39%","['Proteção Imutável', 'Convergência de Zeke', 'Bastião da Montanha', 'Botas Ionianas da Lucidez', 'Armadura de Espinhos', 'Sentinela de Controle', 'Lente do Oráculo', 'Incendiar', 'Flash', '', '', '', '']","['4\nResolve', 'Aftershock\nAfter immobilizing an enemy champion gain defenses and later deal a burst of magic damage around you.', ""Font of Life\nImpairing the movement of an enemy champion marks them. Your allies heal when attacking champions you've marked."", 'Bone Plating\nAfter taking damage from an enemy champion, the next 3 spells or attacks you receive from them deal 30-60 less damage.\n\n\nDuration: 1.5s\nCooldown: 45s', 'Unflinching\nGain a small amount of tenacity that increases with missing health.', '4\nInspiration', 'Biscuit Delivery\nGain a free Biscuit every 2 min, until 6 min. Consuming or selling a Biscuit permanently increases your max mana and restores health and mana.', 'Cosmic Insight\n+18 Summoner Spell Haste\n+10 Item Haste', 'Scaling Cooldown Reduction\n+1-10% CDR (based on level)', 'Armor\n+6 Armor', 'Armor\n+6 Armor']"
12,"Anivia
Mage
Support","Games Played303860
Pick Rate7.14%
Win Rate55%","['Abraço de Seraph', 'Ampulheta de Zhonya', 'Glacieterno', 'Capuz da Morte de Rabadon', 'Sapatos do Feiticeiro', 'Orbe do Oblívio', 'Sentinela Invisível', 'Flash', 'Teleporte', '', '', '', '']","['5\nInspiration', 'First Strike\nWhen you initiate champion combat, deal 10% extra damage for 3 seconds and gain gold based on damage dealt.', 'Magical Footwear\nYou get free boots at 12 min but you cannot buy boots before then. Each takedown you get makes your boots come 45s sooner.', 'Biscuit Delivery\nGain a free Biscuit every 2 min, until 6 min. Consuming or selling a Biscuit permanently increases your max mana and restores health and mana.', 'Cosmic Insight\n+18 Summoner Spell Haste\n+10 Item Haste', '1\nPrecision', 'Presence of Mind\nIncrease your mana or energy regeneration when damaging an enemy champion. Takedowns restore mana or energy.', 'Coup de Grace\nDeal more damage to low health enemy champions.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
13,"Anivia
Mage
Support","Games Played303860
Pick Rate7.14%
Win Rate55%","['Sentinela de Controle', 'Ampulheta de Zhonya', 'Glacieterno', 'Capuz da Morte de Rabadon', 'Abraço de Seraph', 'Sapatos do Feiticeiro', 'Sentinela Invisível', 'Flash', 'Teleporte', '', '', '', '']","['3\nSorcery', 'Arcane Comet\nDamaging a champion with an ability hurls a damaging comet at their location.', 'Manaflow Band\nHitting an enemy champion with an ability permanently increases your maximum mana by 25, up to 250 mana.\n\nAfter reaching 250 bonus mana, restore 1% of your missing mana every 5 seconds.', 'Transcendence\nGain bonuses upon reaching the following levels:\nLevel 5: +5 Ability Haste\nLevel 8: +5 Ability Haste\nLevel 11: On Champion takedown, reduce the remaining cooldown of basic abilities by 20%.', 'Gathering Storm\nGain increasing amounts of AD or AP, adaptive over the course of the game.', '1\nPrecision', 'Presence of Mind\nIncrease your mana or energy regeneration when damaging an enemy champion. Takedowns restore mana or energy.', 'Coup de Grace\nDeal more damage to low health enemy champions.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Magic Resist\n+8 Magic Resist']"
14,"Annie
Mage","Games Played69813
Pick Rate7.14%
Win Rate45%","['Ladrão de Almas de Mejai', 'Abraço Demoníaco', 'Angústia de Liandry', 'Cetro de Cristal de Rylai', 'Cajado do Vazio', 'Capuz da Morte de Rabadon', 'Sentinela Invisível', 'Fantasma', 'Flash', '', '', '', '']","['3\nSorcery', 'Arcane Comet\nDamaging a champion with an ability hurls a damaging comet at their location.', 'Manaflow Band\nHitting an enemy champion with an ability permanently increases your maximum mana by 25, up to 250 mana.\n\nAfter reaching 250 bonus mana, restore 1% of your missing mana every 5 seconds.', 'Transcendence\nGain bonuses upon reaching the following levels:\nLevel 5: +5 Ability Haste\nLevel 8: +5 Ability Haste\nLevel 11: On Champion takedown, reduce the remaining cooldown of basic abilities by 20%.', 'Gathering Storm\nGain increasing amounts of AD or AP, adaptive over the course of the game.', '4\nInspiration', 'Magical Footwear\nYou get free boots at 12 min but you cannot buy boots before then. Each takedown you get makes your boots come 45s sooner.', 'Cosmic Insight\n+18 Summoner Spell Haste\n+10 Item Haste', 'Scaling Cooldown Reduction\n+1-10% CDR (based on level)', 'Adaptive Force\n+9 Adaptive Force', 'Scaling Health\n+15-90 HP (based on level)']"
15,"Annie
Mage","Games Played69813
Pick Rate7.14%
Win Rate45%","['Morellonomicon', 'Abraço Demoníaco', 'Angústia de Liandry', 'Cetro de Cristal de Rylai', 'Sapatos do Feiticeiro', 'Ladrão de Almas de Mejai', 'Sentinela Invisível', 'Fantasma', 'Flash', '', '', '', '']","['3\nSorcery', 'Arcane Comet\nDamaging a champion with an ability hurls a damaging comet at their location.', 'Manaflow Band\nHitting an enemy champion with an ability permanently increases your maximum mana by 25, up to 250 mana.\n\nAfter reaching 250 bonus mana, restore 1% of your missing mana every 5 seconds.', 'Transcendence\nGain bonuses upon reaching the following levels:\nLevel 5: +5 Ability Haste\nLevel 8: +5 Ability Haste\nLevel 11: On Champion takedown, reduce the remaining cooldown of basic abilities by 20%.', 'Gathering Storm\nGain increasing amounts of AD or AP, adaptive over the course of the game.', '4\nInspiration', 'Magical Footwear\nYou get free boots at 12 min but you cannot buy boots before then. Each takedown you get makes your boots come 45s sooner.', 'Cosmic Insight\n+18 Summoner Spell Haste\n+10 Item Haste', 'Scaling Cooldown Reduction\n+1-10% CDR (based on level)', 'Adaptive Force\n+9 Adaptive Force', 'Scaling Health\n+15-90 HP (based on level)']"
16,"Aphelios
Marksman","Games Played67052
Pick Rate7.14%
Win Rate47%","['', 'Força do Vendaval', 'Último Sussurro', 'Grevas do Berserker', 'Adaga', '', 'Alteração Vidente', 'Flash', 'Curar', '', '', '', '']","['1\nPrecision', 'Lethal Tempo\nGain attack speed when attacking an enemy champion, stacking up to 6 times. At max stacks, gain Attack Range and remove your Attack Speed limit.', 'Presence of Mind\nIncrease your mana or energy regeneration when damaging an enemy champion. Takedowns restore mana or energy.', 'Legend: Bloodline\nTakedowns on enemies grant permanent Lifesteal. Weaker earlier but stronger later game than other Legend Runes.', 'Coup de Grace\nDeal more damage to low health enemy champions.', '1\nDomination', 'Taste of Blood\nHeal when you damage an enemy champion.', 'Ravenous Hunter\nUnique takedowns grant permanent Omnivamp.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
17,"Aphelios
Marksman","Games Played67052
Pick Rate7.14%
Win Rate47%","[""Berserker's Greaves"", 'Cloak of Agility', 'Galeforce', 'The Collector', 'Pickaxe', '', 'Farsight Alteration', 'Heal', 'Flash', '', '', '', '']","['1\nPrecision', 'Lethal Tempo\nGain attack speed when attacking an enemy champion, stacking up to 6 times. At max stacks, gain Attack Range and remove your Attack Speed limit.', 'Presence of Mind\nIncrease your mana or energy regeneration when damaging an enemy champion. Takedowns restore mana or energy.', 'Legend: Bloodline\nTakedowns on enemies grant permanent Lifesteal. Weaker earlier but stronger later game than other Legend Runes.', 'Cut Down\nDeal more damage to champions with more max health than you.', '1\nDomination', 'Taste of Blood\nHeal when you damage an enemy champion.', 'Ravenous Hunter\nUnique takedowns grant permanent Omnivamp.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Magic Resist\n+8 Magic Resist']"
18,"Ashe
Marksman
Support","Games Played56883
Pick Rate7.14%
Win Rate53%","['Ampulheta de Zhonya', 'Muramana', 'Sentinela de Controle', 'Botas Ionianas da Lucidez', 'Gema Ardente', 'Mandato Imperial', 'Alteração Vidente', 'Flash', 'Exaustão', '', '', '', '']","['3\nSorcery', 'Arcane Comet\nDamaging a champion with an ability hurls a damaging comet at their location.', 'Manaflow Band\nHitting an enemy champion with an ability permanently increases your maximum mana by 25, up to 250 mana.\n\nAfter reaching 250 bonus mana, restore 1% of your missing mana every 5 seconds.', 'Transcendence\nGain bonuses upon reaching the following levels:\nLevel 5: +5 Ability Haste\nLevel 8: +5 Ability Haste\nLevel 11: On Champion takedown, reduce the remaining cooldown of basic abilities by 20%.', 'Scorch\nYour first damaging ability hit every 10s burns champions.', '2\nDomination', 'Cheap Shot\nDeal bonus true damage to enemy champions with impaired movement or actions.', 'Ultimate Hunter\nUnique takedowns grant permanent cooldown reduction on your Ultimate.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
19,"Ashe
Marksman
Support","Games Played56883
Pick Rate7.14%
Win Rate53%","['Immortal Shieldbow', '', ""Lord Dominik's Regards"", ""Runaan's Hurricane"", ""Berserker's Greaves"", 'Rageknife', 'Farsight Alteration', 'Flash', 'Heal', '', '', '', '']","['1\nPrecision', 'Lethal Tempo\nGain attack speed when attacking an enemy champion, stacking up to 6 times. At max stacks, gain Attack Range and remove your Attack Speed limit.', 'Presence of Mind\nIncrease your mana or energy regeneration when damaging an enemy champion. Takedowns restore mana or energy.', 'Legend: Alacrity\nTakedowns on enemies grant permanent Attack Speed.', 'Coup de Grace\nDeal more damage to low health enemy champions.', '4\nInspiration', 'Approach Velocity\nBonus MS towards nearby enemy champions that are movement impaired, increased for enemy champions that you impair.', 'Magical Footwear\nYou get free boots at 12 min but you cannot buy boots before then. Each takedown you get makes your boots come 45s sooner.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
20,"Aurelion Sol
Mage","Games Played12487
Pick Rate7.14%
Win Rate43%","['Crown of the Shattered Queen', ""Rylai's Crystal Scepter"", 'Needlessly Large Rod', ""Sorcerer's Shoes"", '', 'Needlessly Large Rod', 'Farsight Alteration', 'Ignite', 'Flash', '', '', '', '']","['2\nDomination', 'Electrocute\nHitting a champion with 3 separate attacks or abilities in 3s deals bonus adaptive damage.', 'Taste of Blood\nHeal when you damage an enemy champion.', 'Eyeball Collection\nCollect eyeballs for champion takedowns. Gain permanent AD or AP, adaptive for each eyeball plus bonus upon collection completion.', 'Relentless Hunter\nUnique takedowns grant permanent out of combat MS.', '4\nInspiration', 'Biscuit Delivery\nGain a free Biscuit every 2 min, until 6 min. Consuming or selling a Biscuit permanently increases your max mana and restores health and mana.', 'Time Warp Tonic\nPotions and biscuits grant some restoration immediately. Gain MS while under their effects.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Scaling Health\n+15-90 HP (based on level)']"
21,"Aurelion Sol
Mage","Games Played12487
Pick Rate7.14%
Win Rate43%","['Tear of the Goddess', ""Sorcerer's Shoes"", 'Refillable Potion', 'Amplifying Tome', 'Dark Seal', 'Amplifying Tome', 'Stealth Ward', 'Ignite', 'Flash', '', '', '', '']","['2\nDomination', 'Predator\nAdd an active effect to your boots that grants a large boost of MS and causes your next attack or ability to deal bonus adaptive damage.', 'Taste of Blood\nHeal when you damage an enemy champion.', 'Eyeball Collection\nCollect eyeballs for champion takedowns. Gain permanent AD or AP, adaptive for each eyeball plus bonus upon collection completion.', 'Ingenious Hunter\nUnique takedowns grant permanent Item Haste (includes Trinkets).', '2\nSorcery', 'Celerity\nAll Move Speed bonuses are 7% more effective on you and gain 1% Move Speed.', 'Waterwalking\nGain MS and AP or AD, adaptive in the river.', 'Adaptive Force\n+9 Adaptive Force', 'Adaptive Force\n+9 Adaptive Force', 'Magic Resist\n+8 Magic Resist']"
22,"Azir
Mage
Marksman","Games Played69129
Pick Rate7.14%
Win Rate48%","[""Luden's Tempest"", 'Shadowflame', 'Corrupting Potion', 'Cosmic Drive', 'Blighting Jewel', ""Sorcerer's Shoes"", 'Farsight Alteration', 'Teleport', 'Flash', '', '', '', '']","['5\nInspiration', 'First Strike\nWhen you initiate champion combat, deal 10% extra damage for 3 seconds and gain gold based on damage dealt.', 'Magical Footwear\nYou get free boots at 12 min but you cannot buy boots before then. Each takedown you get makes your boots come 45s sooner.', 'Biscuit Delivery\nGain a free Biscuit every 2 min, until 6 min. Consuming or selling a Biscuit permanently increases your max mana and restores health and mana.', 'Time Warp Tonic\nPotions and biscuits grant some restoration immediately. Gain MS while under their effects.', '3\nSorcery', 'Manaflow Band\nHitting an enemy champion with an ability permanently increases your maximum mana by 25, up to 250 mana.\n\nAfter reaching 250 bonus mana, restore 1% of your missing mana every 5 seconds.', 'Transcendence\nGain bonuses upon reaching the following levels:\nLevel 5: +5 Ability Haste\nLevel 8: +5 Ability Haste\nLevel 11: On Champion takedown, reduce the remaining cooldown of basic abilities by 20%.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
23,"Azir
Mage
Marksman","Games Played69129
Pick Rate7.14%
Win Rate48%","['Corrupting Potion', ""Seeker's Armguard"", 'Broken Stopwatch', ""Luden's Tempest"", 'Amplifying Tome', ""Sorcerer's Shoes"", 'Farsight Alteration', 'Teleport', 'Flash', '', '', '', '']","['3\nSorcery', 'Summon Aery\nYour attacks and abilities send Aery to a target, damaging enemies or shielding allies.', 'Manaflow Band\nHitting an enemy champion with an ability permanently increases your maximum mana by 25, up to 250 mana.\n\nAfter reaching 250 bonus mana, restore 1% of your missing mana every 5 seconds.', 'Transcendence\nGain bonuses upon reaching the following levels:\nLevel 5: +5 Ability Haste\nLevel 8: +5 Ability Haste\nLevel 11: On Champion takedown, reduce the remaining cooldown of basic abilities by 20%.', 'Scorch\nYour first damaging ability hit every 10s burns champions.', '4\nInspiration', 'Biscuit Delivery\nGain a free Biscuit every 2 min, until 6 min. Consuming or selling a Biscuit permanently increases your max mana and restores health and mana.', 'Time Warp Tonic\nPotions and biscuits grant some restoration immediately. Gain MS while under their effects.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Magic Resist\n+8 Magic Resist']"
24,"Bard
Support
Mage","Games Played1554
Pick Rate7.14%
Win Rate29%","['Bulwark of the Mountain', 'Ionian Boots of Lucidity', ""Shurelya's Battlesong"", ""Dead Man's Plate"", 'Ruby Crystal', 'Control Ward', 'Oracle Lens', 'Flash', 'Ignite', '', '', '', '']","['4\nResolve', ""Guardian\nGuard allies you cast spells on and those that are very nearby. If you or a guarded ally would take damage based on level, you're both granted a shield."", ""Font of Life\nImpairing the movement of an enemy champion marks them. Your allies heal when attacking champions you've marked."", 'Bone Plating\nAfter taking damage from an enemy champion, the next 3 spells or attacks you receive from them deal 30-60 less damage.\n\n\nDuration: 1.5s\nCooldown: 45s', 'Revitalize\nGain 5% Heal and Shield Power.\n\nHeals and shields you cast or receive are 10% stronger on targets below 40% health.', '2\nDomination', 'Relentless Hunter\nUnique takedowns grant permanent out of combat MS.', 'Zombie Ward\nTakedowns on enemy Wards cause friendly Zombie Wards to sprout from their corpses. Gain permanent AD or AP, adaptive for each Zombie Ward spawned plus bonus upon completion.', 'Adaptive Force\n+9 Adaptive Force', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
25,"Bard
Support
Mage","Games Played1554
Pick Rate7.14%
Win Rate29%","[""Shurelya's Battlesong"", 'Shard of True Ice', 'Redemption', 'Control Ward', 'Ionian Boots of Lucidity', 'Kindlegem', 'Oracle Lens', 'Flash', 'Ignite', '', '', '', '']","['4\nResolve', ""Guardian\nGuard allies you cast spells on and those that are very nearby. If you or a guarded ally would take damage based on level, you're both granted a shield."", ""Font of Life\nImpairing the movement of an enemy champion marks them. Your allies heal when attacking champions you've marked."", 'Bone Plating\nAfter taking damage from an enemy champion, the next 3 spells or attacks you receive from them deal 30-60 less damage.\n\n\nDuration: 1.5s\nCooldown: 45s', 'Unflinching\nGain a small amount of tenacity that increases with missing health.', '2\nDomination', 'Zombie Ward\nTakedowns on enemy Wards cause friendly Zombie Wards to sprout from their corpses. Gain permanent AD or AP, adaptive for each Zombie Ward spawned plus bonus upon completion.', 'Relentless Hunter\nUnique takedowns grant permanent out of combat MS.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
